image_path,person_id,category,reason,blur_score,face_count,action
datasets/raw\actors\ajay_devgn\0d6b50cee5.jpg,ajay_devgn,actors,no_face,1346.7,0,move
datasets/raw\actors\ajay_devgn\11e50143ba.jpg,ajay_devgn,actors,no_face,478.0,0,move
datasets/raw\actors\ajay_devgn\13c91a0837.jpg,ajay_devgn,actors,no_face,767.9,0,move
datasets/raw\actors\ajay_devgn\1aefb1fc13.jpg,ajay_devgn,actors,no_face,376.9,0,move
datasets/raw\actors\ajay_devgn\1e8a3d874f.jpg,ajay_devgn,actors,no_face,1538.6,0,move
datasets/raw\actors\ajay_devgn\240e11427e.jpg,ajay_devgn,actors,no_face,2639.2,0,move
datasets/raw\actors\ajay_devgn\2e455e319b.jpg,ajay_devgn,actors,no_face,375.6,0,move
datasets/raw\actors\ajay_devgn\44bd93f4a1.jpg,ajay_devgn,actors,no_face,437.6,0,move
datasets/raw\actors\ajay_devgn\4a89873594.jpg,ajay_devgn,actors,no_face,2136.2,0,move
datasets/raw\actors\ajay_devgn\4e4a9246b9.jpg,ajay_devgn,actors,no_face,289.5,0,move
datasets/raw\actors\ajay_devgn\59b17e120a.jpg,ajay_devgn,actors,no_face,1306.7,0,move
datasets/raw\actors\ajay_devgn\5fc9cd1bb4.jpg,ajay_devgn,actors,no_face,1434.4,0,move
datasets/raw\actors\ajay_devgn\73ff590284.jpg,ajay_devgn,actors,no_face,1613.1,0,move
datasets/raw\actors\ajay_devgn\85b4c1c831.jpg,ajay_devgn,actors,no_face,428.2,0,move
datasets/raw\actors\ajay_devgn\8d3c14b370.jpg,ajay_devgn,actors,no_face,746.8,0,move
datasets/raw\actors\ajay_devgn\9be8c116e3.jpg,ajay_devgn,actors,no_face,649.7,0,move
datasets/raw\actors\akshaye_khanna\09071bb7c7.jpg,akshaye_khanna,actors,no_face,2783.4,0,move
datasets/raw\actors\akshaye_khanna\0df4f21d12.jpg,akshaye_khanna,actors,no_face,4934.4,0,move
datasets/raw\actors\akshaye_khanna\14c0ed5c99.jpg,akshaye_khanna,actors,no_face,1266.4,0,move
datasets/raw\actors\akshaye_khanna\1c29b44d08.jpg,akshaye_khanna,actors,no_face,986.1,0,move
datasets/raw\actors\akshaye_khanna\2a6f553d0f.jpg,akshaye_khanna,actors,no_face,180.5,0,move
datasets/raw\actors\akshaye_khanna\322c474332.jpg,akshaye_khanna,actors,no_face,251.0,0,move
datasets/raw\actors\akshaye_khanna\3361ff60df.jpg,akshaye_khanna,actors,no_face,155.7,0,move
datasets/raw\actors\akshaye_khanna\39a609fed5.jpg,akshaye_khanna,actors,no_face,2616.7,0,move
datasets/raw\actors\akshaye_khanna\45bb2823ef.jpg,akshaye_khanna,actors,no_face,222.7,0,move
datasets/raw\actors\akshaye_khanna\4bc7481e92.jpg,akshaye_khanna,actors,no_face,552.6,0,move
datasets/raw\actors\akshaye_khanna\529fa105d2.jpg,akshaye_khanna,actors,no_face,273.6,0,move
datasets/raw\actors\akshaye_khanna\595c3ead7e.jpg,akshaye_khanna,actors,no_face,480.7,0,move
datasets/raw\actors\akshaye_khanna\63ca4847b7.jpg,akshaye_khanna,actors,no_face,50.1,0,move
datasets/raw\actors\akshaye_khanna\6e4ff7069a.jpg,akshaye_khanna,actors,no_face,800.3,0,move
datasets/raw\actors\akshaye_khanna\71a3afe272.jpg,akshaye_khanna,actors,no_face,917.7,0,move
datasets/raw\actors\akshaye_khanna\7cf3dc113c.jpg,akshaye_khanna,actors,no_face,460.7,0,move
datasets/raw\actors\akshaye_khanna\8cb666e2aa.jpg,akshaye_khanna,actors,no_face,1484.8,0,move
datasets/raw\actors\akshaye_khanna\90f9d3f6ed.jpg,akshaye_khanna,actors,no_face,1082.5,0,move
datasets/raw\actors\akshaye_khanna\9ab96951d0.jpg,akshaye_khanna,actors,no_face,233.6,0,move
datasets/raw\actors\akshay_kumar\05aecc2317.jpg,akshay_kumar,actors,no_face,76.4,0,move
datasets/raw\actors\akshay_kumar\0f67ff3d3b.jpg,akshay_kumar,actors,no_face,694.7,0,move
datasets/raw\actors\akshay_kumar\18da34e183.jpg,akshay_kumar,actors,no_face,653.9,0,move
datasets/raw\actors\akshay_kumar\1c4e5e9216.jpg,akshay_kumar,actors,no_face,1054.9,0,move
datasets/raw\actors\akshay_kumar\23d88db700.jpg,akshay_kumar,actors,no_face,292.5,0,move
datasets/raw\actors\akshay_kumar\30b9937858.jpg,akshay_kumar,actors,no_face,575.2,0,move
datasets/raw\actors\akshay_kumar\36f3127fbe.jpg,akshay_kumar,actors,no_face,697.3,0,move
datasets/raw\actors\akshay_kumar\3e0bff58b3.jpg,akshay_kumar,actors,no_face,545.7,0,move
datasets/raw\actors\akshay_kumar\4cbee1c951.jpg,akshay_kumar,actors,no_face,143.4,0,move
datasets/raw\actors\akshay_kumar\4ea239b589.jpg,akshay_kumar,actors,no_face,299.5,0,move
datasets/raw\actors\akshay_kumar\53bfa86b27.jpg,akshay_kumar,actors,no_face,286.3,0,move
datasets/raw\actors\akshay_kumar\5abc734866.jpg,akshay_kumar,actors,no_face,779.5,0,move
datasets/raw\actors\akshay_kumar\5d4e5c02c9.jpg,akshay_kumar,actors,no_face,906.7,0,move
datasets/raw\actors\akshay_kumar\5ea9c38932.jpg,akshay_kumar,actors,no_face,1805.0,0,move
datasets/raw\actors\akshay_kumar\6a73dadc2d.jpg,akshay_kumar,actors,no_face,329.6,0,move
datasets/raw\actors\akshay_kumar\7dc7437f0f.jpg,akshay_kumar,actors,no_face,607.1,0,move
datasets/raw\actors\akshay_kumar\8ee6c5003a.jpg,akshay_kumar,actors,no_face,193.6,0,move
datasets/raw\actors\akshay_kumar\9c7a4a1cfa.jpg,akshay_kumar,actors,no_face,560.8,0,move
datasets/raw\actors\amitabh_bachchan\02c358bbb2.jpg,amitabh_bachchan,actors,no_face,953.7,0,move
datasets/raw\actors\amitabh_bachchan\039ac16a17.jpg,amitabh_bachchan,actors,no_face,926.6,0,move
datasets/raw\actors\amitabh_bachchan\10f9809a38.jpg,amitabh_bachchan,actors,no_face,422.9,0,move
datasets/raw\actors\amitabh_bachchan\1c0919106f.jpg,amitabh_bachchan,actors,no_face,322.7,0,move
datasets/raw\actors\amitabh_bachchan\1ee666c3f0.jpg,amitabh_bachchan,actors,no_face,680.0,0,move
datasets/raw\actors\amitabh_bachchan\20f15b69e7.jpg,amitabh_bachchan,actors,no_face,451.2,0,move
datasets/raw\actors\amitabh_bachchan\23a2234139.jpg,amitabh_bachchan,actors,no_face,1571.0,0,move
datasets/raw\actors\amitabh_bachchan\2fd6aa6794.jpg,amitabh_bachchan,actors,no_face,311.4,0,move
datasets/raw\actors\amitabh_bachchan\369e48dd6e.jpg,amitabh_bachchan,actors,no_face,612.4,0,move
datasets/raw\actors\amitabh_bachchan\3db5da6c3f.jpg,amitabh_bachchan,actors,no_face,363.6,0,move
datasets/raw\actors\amitabh_bachchan\4e38a7a0e5.jpg,amitabh_bachchan,actors,no_face,1181.9,0,move
datasets/raw\actors\amitabh_bachchan\5a2fe29dfe.jpg,amitabh_bachchan,actors,no_face,633.8,0,move
datasets/raw\actors\amitabh_bachchan\5b73c797f7.jpg,amitabh_bachchan,actors,no_face,64.3,0,move
datasets/raw\actors\amitabh_bachchan\5efd6014fa.jpg,amitabh_bachchan,actors,no_face,308.6,0,move
datasets/raw\actors\amitabh_bachchan\75bbd3ac0c.jpg,amitabh_bachchan,actors,no_face,398.4,0,move
datasets/raw\actors\amitabh_bachchan\7dbfe0e91d.jpg,amitabh_bachchan,actors,no_face,164.8,0,move
datasets/raw\actors\amitabh_bachchan\96b1949fc8.jpg,amitabh_bachchan,actors,no_face,456.6,0,move
datasets/raw\actors\amjad_khan\02376ece82.jpg,amjad_khan,actors,no_face,716.1,0,move
datasets/raw\actors\amjad_khan\13b2be90d5.jpg,amjad_khan,actors,no_face,456.7,0,move
datasets/raw\actors\amjad_khan\1e67e97cf2.jpg,amjad_khan,actors,no_face,312.0,0,move
datasets/raw\actors\amjad_khan\2961f38310.jpg,amjad_khan,actors,no_face,4078.0,0,move
datasets/raw\actors\amjad_khan\2d7dc4570f.jpg,amjad_khan,actors,no_face,340.2,0,move
datasets/raw\actors\amjad_khan\36736a7e93.jpg,amjad_khan,actors,no_face,68.6,0,move
datasets/raw\actors\amjad_khan\390dc2fb90.jpg,amjad_khan,actors,no_face,967.1,0,move
datasets/raw\actors\amjad_khan\41809fa982.jpg,amjad_khan,actors,no_face,508.8,0,move
datasets/raw\actors\amjad_khan\49231a1a70.jpg,amjad_khan,actors,no_face,2231.3,0,move
datasets/raw\actors\amjad_khan\4b83f57149.jpg,amjad_khan,actors,no_face,1178.7,0,move
datasets/raw\actors\amjad_khan\5e1b2741c6.jpg,amjad_khan,actors,no_face,116.2,0,move
datasets/raw\actors\amjad_khan\7355b85ebd.jpg,amjad_khan,actors,no_face,3517.2,0,move
datasets/raw\actors\amjad_khan\78a3443055.jpg,amjad_khan,actors,no_face,1154.2,0,move
datasets/raw\actors\amjad_khan\7b35507494.jpg,amjad_khan,actors,no_face,45.8,0,move
datasets/raw\actors\amjad_khan\7c46e1ef95.jpg,amjad_khan,actors,no_face,387.7,0,move
datasets/raw\actors\amjad_khan\82b8f04406.jpg,amjad_khan,actors,no_face,1223.8,0,move
datasets/raw\actors\amjad_khan\884b485e35.jpg,amjad_khan,actors,no_face,342.3,0,move
datasets/raw\actors\amjad_khan\8f080a3633.jpg,amjad_khan,actors,no_face,373.4,0,move
datasets/raw\actors\amjad_khan\9d00afd0a4.jpg,amjad_khan,actors,no_face,431.2,0,move
datasets/raw\actors\amole_gupte\0cd1d90b66.jpg,amole_gupte,actors,no_face,169.9,0,move
datasets/raw\actors\amole_gupte\11f917bdf4.jpg,amole_gupte,actors,no_face,88.2,0,move
datasets/raw\actors\amole_gupte\1afbc3b574.jpg,amole_gupte,actors,no_face,2376.9,0,move
datasets/raw\actors\amole_gupte\21f143ef42.jpg,amole_gupte,actors,no_face,610.3,0,move
datasets/raw\actors\amole_gupte\2d1adb0baa.jpg,amole_gupte,actors,no_face,206.7,0,move
datasets/raw\actors\amole_gupte\33f5d99724.jpg,amole_gupte,actors,no_face,542.1,0,move
datasets/raw\actors\amole_gupte\3be80a387d.jpg,amole_gupte,actors,no_face,11572.1,0,move
datasets/raw\actors\amole_gupte\48cfc46b35.jpg,amole_gupte,actors,no_face,513.9,0,move
datasets/raw\actors\amole_gupte\58b6426d90.jpg,amole_gupte,actors,no_face,808.5,0,move
datasets/raw\actors\amole_gupte\65e7b932ce.jpg,amole_gupte,actors,no_face,976.1,0,move
datasets/raw\actors\amole_gupte\6ec161becc.jpg,amole_gupte,actors,no_face,1088.2,0,move
datasets/raw\actors\amole_gupte\7a83b52da6.jpg,amole_gupte,actors,no_face,3681.5,0,move
datasets/raw\actors\amole_gupte\7b59a73d8f.jpg,amole_gupte,actors,no_face,787.1,0,move
datasets/raw\actors\amole_gupte\7c6fad701f.jpg,amole_gupte,actors,no_face,1048.7,0,move
datasets/raw\actors\amole_gupte\8c3fada3f7.jpg,amole_gupte,actors,no_face,378.6,0,move
datasets/raw\actors\amole_gupte\8ec689ea53.jpg,amole_gupte,actors,no_face,1435.9,0,move
datasets/raw\actors\amole_gupte\9ca894847b.jpg,amole_gupte,actors,no_face,1336.8,0,move
datasets/raw\actors\amol_palekar\0084dfaae5.jpg,amol_palekar,actors,no_face,199.8,0,move
datasets/raw\actors\amol_palekar\0361fa43de.jpg,amol_palekar,actors,no_face,2944.6,0,move
datasets/raw\actors\amol_palekar\08b431c963.jpg,amol_palekar,actors,no_face,326.0,0,move
datasets/raw\actors\amol_palekar\0d152d97c5.jpg,amol_palekar,actors,no_face,248.4,0,move
datasets/raw\actors\amol_palekar\0f96ea3c1c.jpg,amol_palekar,actors,no_face,7422.9,0,move
datasets/raw\actors\amol_palekar\17e3dab95b.jpg,amol_palekar,actors,no_face,139.6,0,move
datasets/raw\actors\amol_palekar\18d7cc64c1.jpg,amol_palekar,actors,no_face,1026.5,0,move
datasets/raw\actors\amol_palekar\1ccd674c69.jpg,amol_palekar,actors,no_face,602.1,0,move
datasets/raw\actors\amol_palekar\236f783433.jpg,amol_palekar,actors,no_face,1255.5,0,move
datasets/raw\actors\amol_palekar\27c38b18dc.jpg,amol_palekar,actors,no_face,87.9,0,move
datasets/raw\actors\amol_palekar\36e2e4fb0f.jpg,amol_palekar,actors,no_face,197.9,0,move
datasets/raw\actors\amol_palekar\417d2fd024.jpg,amol_palekar,actors,no_face,1358.1,0,move
datasets/raw\actors\amol_palekar\4db9525f20.jpg,amol_palekar,actors,no_face,574.6,0,move
datasets/raw\actors\amol_palekar\58d5d11a2f.jpg,amol_palekar,actors,no_face,581.6,0,move
datasets/raw\actors\amol_palekar\84cef5d19d.jpg,amol_palekar,actors,no_face,75.1,0,move
datasets/raw\actors\amol_palekar\8bb2cbba73.jpg,amol_palekar,actors,no_face,66.3,0,move
datasets/raw\actors\amol_palekar\99dc8effef.jpg,amol_palekar,actors,no_face,44.7,0,move
datasets/raw\actors\amol_palekar\f3252bcf24.jpg,amol_palekar,actors,no_face,644.9,0,move
datasets/raw\actors\amol_palekar\fab7b2babd.jpg,amol_palekar,actors,no_face,849.2,0,move
datasets/raw\actors\amol_palekar\fd78443b5e.jpg,amol_palekar,actors,no_face,319.0,0,move
datasets/raw\actors\amrish_puri\0096ba7034.jpg,amrish_puri,actors,no_face,300.4,0,move
datasets/raw\actors\amrish_puri\0298dfb2e8.jpg,amrish_puri,actors,no_face,3365.3,0,move
datasets/raw\actors\amrish_puri\090fd8e872.jpg,amrish_puri,actors,no_face,513.1,0,move
datasets/raw\actors\amrish_puri\0e9cb36b5f.jpg,amrish_puri,actors,no_face,124.0,0,move
datasets/raw\actors\amrish_puri\15bfb4f9e0.jpg,amrish_puri,actors,no_face,209.8,0,move
datasets/raw\actors\amrish_puri\1a2c54694c.jpg,amrish_puri,actors,no_face,133.9,0,move
datasets/raw\actors\amrish_puri\1d29a1d02d.jpg,amrish_puri,actors,no_face,826.2,0,move
datasets/raw\actors\amrish_puri\1f8e3acba0.jpg,amrish_puri,actors,no_face,264.2,0,move
datasets/raw\actors\amrish_puri\364b4e5a06.jpg,amrish_puri,actors,no_face,1927.2,0,move
datasets/raw\actors\amrish_puri\3bd4f1c602.jpg,amrish_puri,actors,no_face,294.5,0,move
datasets/raw\actors\amrish_puri\3e99521d7d.jpg,amrish_puri,actors,no_face,47.8,0,move
datasets/raw\actors\amrish_puri\4d3dd0f7d2.jpg,amrish_puri,actors,no_face,57.9,0,move
datasets/raw\actors\amrish_puri\5d5fdcde14.jpg,amrish_puri,actors,no_face,370.1,0,move
datasets/raw\actors\amrish_puri\6a053eb235.jpg,amrish_puri,actors,no_face,934.7,0,move
datasets/raw\actors\amrish_puri\6a9da5a012.jpg,amrish_puri,actors,no_face,690.2,0,move
datasets/raw\actors\amrish_puri\7b55ce9b6b.jpg,amrish_puri,actors,no_face,181.8,0,move
datasets/raw\actors\amrish_puri\7d1d9e3a9d.jpg,amrish_puri,actors,no_face,592.1,0,move
datasets/raw\actors\amrish_puri\86f12667eb.jpg,amrish_puri,actors,no_face,4094.2,0,move
datasets/raw\actors\amrish_puri\9e84fd3904.jpg,amrish_puri,actors,no_face,863.5,0,move
datasets/raw\actors\anil_kapoor\06ebb453ec.jpg,anil_kapoor,actors,no_face,1872.0,0,move
datasets/raw\actors\anil_kapoor\0b0bf3459b.jpg,anil_kapoor,actors,no_face,155.4,0,move
datasets/raw\actors\anil_kapoor\0e8e37df32.jpg,anil_kapoor,actors,no_face,1065.1,0,move
datasets/raw\actors\anil_kapoor\1adccd5eea.jpg,anil_kapoor,actors,no_face,650.4,0,move
datasets/raw\actors\anil_kapoor\24b8cd3aea.jpg,anil_kapoor,actors,no_face,2120.7,0,move
datasets/raw\actors\anil_kapoor\36bbb95d43.jpg,anil_kapoor,actors,no_face,693.2,0,move
datasets/raw\actors\anil_kapoor\3f25d28857.jpg,anil_kapoor,actors,no_face,1034.4,0,move
datasets/raw\actors\anil_kapoor\42c5dc3ff2.jpg,anil_kapoor,actors,no_face,112.9,0,move
datasets/raw\actors\anil_kapoor\48a7eb8e07.jpg,anil_kapoor,actors,no_face,678.7,0,move
datasets/raw\actors\anil_kapoor\56daeb6da9.jpg,anil_kapoor,actors,no_face,3571.4,0,move
datasets/raw\actors\anil_kapoor\65755ad273.jpg,anil_kapoor,actors,no_face,417.8,0,move
datasets/raw\actors\anil_kapoor\7d835098a9.jpg,anil_kapoor,actors,no_face,1288.5,0,move
datasets/raw\actors\anil_kapoor\84b6902234.jpg,anil_kapoor,actors,no_face,314.5,0,move
datasets/raw\actors\anil_kapoor\8b56d62d30.jpg,anil_kapoor,actors,no_face,704.9,0,move
datasets/raw\actors\anil_kapoor\934e3cf8d2.jpg,anil_kapoor,actors,no_face,1608.3,0,move
datasets/raw\actors\anil_kapoor\9e8aead8ed.jpg,anil_kapoor,actors,no_face,190.9,0,move
datasets/raw\actors\annu_kapoor\04143b9112.jpg,annu_kapoor,actors,no_face,41.5,0,move
datasets/raw\actors\annu_kapoor\07578fc6db.jpg,annu_kapoor,actors,no_face,284.2,0,move
datasets/raw\actors\annu_kapoor\0ae3490a4f.jpg,annu_kapoor,actors,no_face,617.4,0,move
datasets/raw\actors\annu_kapoor\0b9d6c548f.jpg,annu_kapoor,actors,no_face,133.3,0,move
datasets/raw\actors\annu_kapoor\0c70463adb.jpg,annu_kapoor,actors,no_face,2251.1,0,move
datasets/raw\actors\annu_kapoor\13d1aed312.jpg,annu_kapoor,actors,no_face,135.9,0,move
datasets/raw\actors\annu_kapoor\15fa22daea.jpg,annu_kapoor,actors,no_face,816.5,0,move
datasets/raw\actors\annu_kapoor\21f2fdcfbb.jpg,annu_kapoor,actors,no_face,1349.7,0,move
datasets/raw\actors\annu_kapoor\23dc330f5d.jpg,annu_kapoor,actors,no_face,1167.0,0,move
datasets/raw\actors\annu_kapoor\293fd46a4e.jpg,annu_kapoor,actors,no_face,416.1,0,move
datasets/raw\actors\annu_kapoor\390dd8927d.jpg,annu_kapoor,actors,no_face,77.5,0,move
datasets/raw\actors\annu_kapoor\42da1284c3.jpg,annu_kapoor,actors,no_face,642.0,0,move
datasets/raw\actors\annu_kapoor\4c49d11b1a.jpg,annu_kapoor,actors,no_face,1875.4,0,move
datasets/raw\actors\annu_kapoor\5d8ea0febd.jpg,annu_kapoor,actors,no_face,2994.0,0,move
datasets/raw\actors\annu_kapoor\826a3d9e14.jpg,annu_kapoor,actors,no_face,652.5,0,move
datasets/raw\actors\annu_kapoor\8b40c7a885.jpg,annu_kapoor,actors,no_face,41.9,0,move
datasets/raw\actors\annu_kapoor\94ab6e1c56.jpg,annu_kapoor,actors,no_face,3198.3,0,move
datasets/raw\actors\annu_kapoor\9ea57ff60b.jpg,annu_kapoor,actors,no_face,2714.7,0,move
datasets/raw\actors\annu_kapoor\fb01735f5f.jpg,annu_kapoor,actors,no_face,260.5,0,move
datasets/raw\actors\anupam_kher\04c3c65b49.jpg,anupam_kher,actors,no_face,441.6,0,move
datasets/raw\actors\anupam_kher\0723bd7e5b.jpg,anupam_kher,actors,no_face,2263.1,0,move
datasets/raw\actors\anupam_kher\0be0f65707.jpg,anupam_kher,actors,no_face,258.9,0,move
datasets/raw\actors\anupam_kher\16e05c31df.jpg,anupam_kher,actors,no_face,226.9,0,move
datasets/raw\actors\anupam_kher\17ff25c3d5.jpg,anupam_kher,actors,no_face,527.1,0,move
datasets/raw\actors\anupam_kher\209e01d18e.jpg,anupam_kher,actors,no_face,88.5,0,move
datasets/raw\actors\anupam_kher\25cdb743c5.jpg,anupam_kher,actors,no_face,728.4,0,move
datasets/raw\actors\anupam_kher\35f26a0e22.jpg,anupam_kher,actors,no_face,576.7,0,move
datasets/raw\actors\anupam_kher\3cf9d71e4e.jpg,anupam_kher,actors,no_face,794.1,0,move
datasets/raw\actors\anupam_kher\3e634f6d35.jpg,anupam_kher,actors,no_face,356.5,0,move
datasets/raw\actors\anupam_kher\4d62ab4d63.jpg,anupam_kher,actors,no_face,184.6,0,move
datasets/raw\actors\anupam_kher\51dd88d341.jpg,anupam_kher,actors,no_face,191.2,0,move
datasets/raw\actors\anupam_kher\58bd944953.jpg,anupam_kher,actors,no_face,71.5,0,move
datasets/raw\actors\anupam_kher\66e49d1cf9.jpg,anupam_kher,actors,no_face,180.4,0,move
datasets/raw\actors\anupam_kher\78c451e967.jpg,anupam_kher,actors,no_face,1190.7,0,move
datasets/raw\actors\anupam_kher\81cd7966f8.jpg,anupam_kher,actors,no_face,1088.2,0,move
datasets/raw\actors\anupam_kher\9d3400c5a6.jpg,anupam_kher,actors,no_face,283.8,0,move
datasets/raw\actors\arshad_warsi\03c3e161e8.jpg,arshad_warsi,actors,no_face,898.9,0,move
datasets/raw\actors\arshad_warsi\0a02c7368d.jpg,arshad_warsi,actors,no_face,518.4,0,move
datasets/raw\actors\arshad_warsi\10f7781d1d.jpg,arshad_warsi,actors,no_face,592.9,0,move
datasets/raw\actors\arshad_warsi\1b5a122519.jpg,arshad_warsi,actors,no_face,737.6,0,move
datasets/raw\actors\arshad_warsi\1c6cb399ed.jpg,arshad_warsi,actors,no_face,506.1,0,move
datasets/raw\actors\arshad_warsi\1cb2554b82.jpg,arshad_warsi,actors,no_face,1525.5,0,move
datasets/raw\actors\arshad_warsi\28bf3bd93a.jpg,arshad_warsi,actors,no_face,120.6,0,move
datasets/raw\actors\arshad_warsi\3a8eb0f260.jpg,arshad_warsi,actors,no_face,287.2,0,move
datasets/raw\actors\arshad_warsi\3f2c768155.jpg,arshad_warsi,actors,no_face,3328.7,0,move
datasets/raw\actors\arshad_warsi\45b63515e8.jpg,arshad_warsi,actors,no_face,534.2,0,move
datasets/raw\actors\arshad_warsi\5bf06a4222.jpg,arshad_warsi,actors,no_face,2240.9,0,move
datasets/raw\actors\arshad_warsi\5c58cacbd5.jpg,arshad_warsi,actors,no_face,226.6,0,move
datasets/raw\actors\arshad_warsi\66fe6b237c.jpg,arshad_warsi,actors,no_face,1317.6,0,move
datasets/raw\actors\arshad_warsi\6d7b6b9bed.jpg,arshad_warsi,actors,no_face,629.8,0,move
datasets/raw\actors\arshad_warsi\75c85c3162.jpg,arshad_warsi,actors,no_face,70.2,0,move
datasets/raw\actors\arshad_warsi\7f66c07060.jpg,arshad_warsi,actors,no_face,1117.4,0,move
datasets/raw\actors\arshad_warsi\8c857929ec.jpg,arshad_warsi,actors,no_face,901.7,0,move
datasets/raw\actors\arshad_warsi\9d8095f0bc.jpg,arshad_warsi,actors,no_face,78.2,0,move
datasets/raw\actors\ashish_vidyarthi\011fea7f45.jpg,ashish_vidyarthi,actors,no_face,225.3,0,move
datasets/raw\actors\ashish_vidyarthi\13ade06b45.jpg,ashish_vidyarthi,actors,no_face,508.6,0,move
datasets/raw\actors\ashish_vidyarthi\1e77f52715.jpg,ashish_vidyarthi,actors,no_face,344.8,0,move
datasets/raw\actors\ashish_vidyarthi\282cfdd0d1.jpg,ashish_vidyarthi,actors,no_face,1492.1,0,move
datasets/raw\actors\ashish_vidyarthi\2cde93b728.jpg,ashish_vidyarthi,actors,no_face,1346.5,0,move
datasets/raw\actors\ashish_vidyarthi\375a38f220.jpg,ashish_vidyarthi,actors,no_face,388.9,0,move
datasets/raw\actors\ashish_vidyarthi\41ac1bf038.jpg,ashish_vidyarthi,actors,no_face,151.1,0,move
datasets/raw\actors\ashish_vidyarthi\49d86de462.jpg,ashish_vidyarthi,actors,no_face,108.5,0,move
datasets/raw\actors\ashish_vidyarthi\4c99b51917.jpg,ashish_vidyarthi,actors,no_face,308.1,0,move
datasets/raw\actors\ashish_vidyarthi\4f0423dbb0.jpg,ashish_vidyarthi,actors,no_face,798.0,0,move
datasets/raw\actors\ashish_vidyarthi\57a562decd.jpg,ashish_vidyarthi,actors,no_face,355.3,0,move
datasets/raw\actors\ashish_vidyarthi\597ab8f761.jpg,ashish_vidyarthi,actors,no_face,506.7,0,move
datasets/raw\actors\ashish_vidyarthi\6e5b79b4d3.jpg,ashish_vidyarthi,actors,no_face,186.0,0,move
